Timestamp,User,Symbol,OrderID,ClOrdID,OrigClOrdID,SubmitTime,ExecID,Side,TransactTime,OrdStatus,OrderQty,OrdType,Price,Symbol,LeavesQty,CumQty,AvgPx,TimeInForce,LastFeeCurrency,CumAmt,CumFee,FeeCurrency,OrdRejReason,CxlRejReason,DecisionStatus,QuoteID,AmountCurrency,SessionID,CancelSessionID,ExpectedFillPrice,ExpectedFillQty,SubAccount,Strategy,AvgPxAllIn,RFQID,ParentRFQID,ParentOrderID,StartTime,EndTime,AllowedSlippage,CumTalosFee,TalosFeeCurrency,AggressorSide,Revision,LastRequestTimestamp,Text,Group,Parameters,Allocation,Comments,Markets
2022-06-10T13:41:46.545075Z,Contingent-API,ftx:ETH-PERP,e266d22f-bd3b-4c3d-b5ef-957b0f64159d,a13dfa54-e78d-40a0-b82d-0a1f4e85a1e1,,2022-06-10T13:35:09.602226Z,1a03fd27-8793-4a07-9960-31161a63ef41,Sell,2022-06-10T13:41:46.482000Z,DoneForDay,324.51674,Limit,1722.065414,ETH,0,324.516,1722.146849,GoodTillCancel,,558864.2068,1.743409685,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1722.141477,,,,,,0,0,,,50,2022-06-10T13:35:09.602226Z,,contingent/1882b8d1-6ca2-4461-b82e-01c23cb0bc16/1882b8d1-6ca2-4461-b82e-01c23cb0bc16,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T14:31:30.809923Z,Contingent-API,ftx:ETH-PERP,04d81c70-8722-4fb4-bd1a-80dee6361370,72ec13e8-e2a1-47e7-afa1-6dccf95d0784,,2022-06-10T12:54:42.114991Z,0305ceef-0e93-41ca-8551-5a1b773701cf,Sell,2022-06-10T14:31:30.736000Z,DoneForDay,318.16367,Limit,1738.142466,ETH,0,318.163,1738.868615,GoodTillCancel,,553243.6552,59.75498382,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1738.680803,,,,,,0,0,,,40,2022-06-10T12:54:42.114991Z,,contingent/7c869ed7-62c1-4532-96f2-8adbdc688f5c/7c869ed7-62c1-4532-96f2-8adbdc688f5c,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T12:44:35.975682Z,Contingent-API,ftx:ETH-PERP,0830b2b0-5ade-4723-9263-3ffe693db8b5,32a343ef-d9b3-4c2a-b210-8c6ec4da0468,,2022-06-10T12:37:51.171258Z,0c7a93c0-d5d4-49d4-b4bb-ff9b30991070,Buy,2022-06-10T12:44:35.947000Z,DoneForDay,312.39778,Limit,1738.7499,ETH,0,312.397,1738.7,GoodTillCancel,,543164.6639,-43.45317311,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1738.560904,,,,,,0,0,,,9,2022-06-10T12:37:51.171258Z,,contingent/145da76e-677d-4987-8722-0ec57d2a9f44/4651de8f-4925-41c9-8c8c-cd9dfb135ac9,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T12:37:24.557149Z,Contingent-API,ftx:ETH-PERP,4651de8f-4925-41c9-8c8c-cd9dfb135ac9,52b816a4-8062-4b48-8673-68b5ac30a2da,,2022-06-10T12:33:57.170827Z,50f82d39-d0ad-4d5c-a33b-d86104487bbe,Sell,2022-06-10T12:37:24.515000Z,DoneForDay,312.39778,Limit,1754.101167,ETH,0,312.397,1754.270269,GoodTillCancel,,548028.7693,-15.35174607,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1754.319411,,,,,,0,0,,,48,2022-06-10T12:33:57.170827Z,,contingent/145da76e-677d-4987-8722-0ec57d2a9f44/145da76e-677d-4987-8722-0ec57d2a9f44,"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T12:30:12.334257Z,Contingent-Yuan-API,ftx:BTC-PERP,25d20262-c756-4791-ade8-9515d3e9999c,39545569-cfb5-475a-8502-968a46d016f7,,2022-06-10T11:37:41.407226Z,7bc378b8-bdae-468e-80b2-586999efbb1c,Buy,2022-06-10T12:30:12.280000Z,DoneForDay,44.30013,Limit,29726.0284,BTC,0,44.3001,29716.97102,GoodTillCancel,,1316464.788,23.96699306,USD,,,Active,,USD,,,0,0,gamma,Iceberg,29717.51204,,,,,,0,0,,,55,2022-06-10T11:37:41.407226Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T13:26:19.926759Z,Contingent-Yuan-API,ftx:BTC-PERP,f4409f11-a3ad-4ac9-8030-fd37dff9d26c,e2d12734-1e2b-4000-b0bd-0c7311f59e93,,2022-06-10T11:37:40.903641Z,a69818e7-db52-40db-ab77-cbd46397d980,Buy,2022-06-10T13:26:19.838000Z,DoneForDay,48.58957,Limit,29456.0645,BTC,0,48.5895,29451.59782,GoodTillCancel,,1431038.412,-27.28401031,USD,,,Active,,USD,,,0,0,gamma,Iceberg,29451.0363,,,,,,0,0,,,62,2022-06-10T11:37:40.903641Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T16:28:09.661409Z,Contingent-Yuan-API,ftx:BTC-PERP,b05e1982-1d88-4ae8-968c-dbf644bcb77f,aa561ec3-5e68-4479-9b39-1991faf402cb,,2022-06-10T11:37:40.398951Z,b3749787-ea48-41ca-97fa-f40603726e98,Buy,2022-06-10T16:28:09.569000Z,DoneForDay,55.47389,Limit,29186.1005,BTC,0,55.4738,29138.91903,GoodTillCancel,,1616446.566,166.8582587,USD,,,Active,,USD,,,0,0,gamma,Iceberg,29141.9269,,,,,,0,0,,,57,2022-06-10T11:37:40.398951Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T16:28:30.280898Z,Contingent-Yuan-API,ftx:BTC-PERP,8ef405e9-f2ee-4a43-b127-c09cea54155e,fb5a70af-c0d5-42e0-95ca-eccb24554b69,,2022-06-10T11:37:39.904260Z,d3ca4cf3-b838-46d3-b79c-416e8999391b,Buy,2022-06-10T16:28:30.211000Z,DoneForDay,60.73896,Limit,28916.1366,BTC,0,60.7389,28912.05402,GoodTillCancel,,1756086.358,-4.586172905,USD,,,Active,,USD,,,0,0,gamma,Iceberg,28911.97852,,,,,,0,0,,,74,2022-06-10T11:37:39.904260Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T12:30:11.964778Z,Contingent-Yuan-API,ftx:ETH-PERP,4aef5e22-2be0-4141-92db-e98ca3b2ca1f,dbfeb734-320c-4f2a-8015-f07e20e15828,,2022-06-10T11:37:29.952378Z,a2056c1f-b250-4bc6-add6-d264a66bf27a,Buy,2022-06-10T12:30:11.870000Z,DoneForDay,307.272195,Limit,1754.6855,ETH,0,307.272,1753.917783,GoodTillCancel,,538929.825,34.16113056,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1754.028958,,,,,,0,0,,,46,2022-06-10T11:37:29.952378Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
2022-06-10T12:33:13.438862Z,Contingent-Yuan-API,ftx:ETH-PERP,145da76e-677d-4987-8722-0ec57d2a9f44,5d36dd06-a0f7-491f-8efb-691a849c03cc,,2022-06-10T11:37:29.458642Z,350cd385-35de-4be8-a381-4e3b2a849ecf,Buy,2022-06-10T12:33:13.303000Z,DoneForDay,312.39778,Limit,1738.7499,ETH,0,312.397,1738.455071,GoodTillCancel,,543088.1489,10.48079484,USD,,,Active,,USD,,,0,0,gamma,Iceberg,1738.488621,,,,,,0,0,,,59,2022-06-10T11:37:29.458642Z,,Contingent(90.0bps),"{""ErrorAction"":""Pause""}",,,ftx
